name,height,weight,hand,age
Artem Sitak,180.34,69.853168,0,28
Franko Skugor,193.04,76.203456,0,27
Ken Skupski,185.42,79.3786,1,31
Tim Smyczek,175.26,65.77084,0,26
Bruno Soares,180.34,77.11064,0,32
Jack Sock,185.42,81.64656,0,22
Go Soeda,180.34,75.749864,0,30
Pedro Sousa,180.34,63.956472,0,26
Joao Souza,193.04,87.996848,0,26
Simon Stadler,182.88,74.84268,1,31
Sergiy Stakhovsky,193.04,79.832192,0,28
Potito Starace,193.04,83.91452,0,33
Jose Statham,182.88,71.667536,0,27
Cedrik-Marcel Stebe,182.88,72.121128,1,24
Radek Stepanek,185.42,75.749864,0,36
Ryan Sweeting,193.04,77.11064,0,27
Leonardo Tavares,185.42,67.131616,0,30
Horia Tecau,187.96,86.18248,0,29
Mikael Tillstrom,185.42,72.57472,0,42
Janko Tipsarevic,180.34,79.832192,0,30
Viktor Troicki,193.04,85.728888,0,28
Jo-Wilfried Tsonga,187.96,90.7184,0,29
Dmitry Tursunov,185.42,81.64656,0,32
Danai Udomchoke,172.72,63.956472,0,33
Adrian Ungur,177.8,72.57472,0,29
Melle Van Gemerden,182.88,74.84268,0,35
Antonio Veic,180.34,73.935496,0,26
Fernando Verdasco,187.96,81.192968,1,31
Andreas Vinciguerra,180.34,72.57472,1,33
Filippo Volandri,182.88,73.028312,0,33
James Ward,190.5,72.121128,0,27
Rogier Wassen,190.5,83.91452,0,38
Stan Wawrinka,182.88,78.925008,0,29
Boy Westerhof,185.42,79.832192,0,29
Donald Young,175.26,65.77084,1,25
Mikhail Youzhny,182.88,72.57472,0,32
Horacio Zeballos,187.96,78.017824,1,29
Igor Zelenay,198.12,89.811216,0,32
Mehdi Ziadi,157.48,53.070264,0,28
Nenad Zimonjic,190.5,92.98636,0,38
Mischa Zverev,190.5,80.739376,1,27
Juan Martin del Potro,195.58,82.553744,0,26
