Winner,Loser,WRank,LRank
Almagro N.,Zeballos H.,18,111
Andujar P.,Granollers M.,43,231
Robredo T.,Pella G.,17,108
Fognini F.,Mayer L.,14,58
Haase R.,Berlocq C.,46,48
Chardy J.,Dolgopolov O.,45,53
Almagro N.,Gimeno-Traver D.,18,84
Ferrer D.,Giraldo S.,5,57
Ramos A.,Volandri F.,92,77
Robredo T.,Haase R.,17,46
Fognini F.,Andujar P.,14,43
Ferrer D.,Ramos A.,5,92
Almagro N.,Chardy J.,18,45
Fognini F.,Robredo T.,14,17
Ferrer D.,Almagro N.,5,18
Ferrer D.,Fognini F.,5,14
Vesely J.,Matosevic M.,81,55
Russell M.,Przysiezny M.,98,76
Smyczek T.,Kyrgios N.,102,171
Karlovic I.,Ebden M.,80,62
Kukushkin M.,Gabashvili T.,59,66
Baghdatis M.,Ram R.,134,150
Becker B.,Lacko L.,88,101
Sock J.,Mannarino A.,85,71
Kuznetsov Al.,Goffin D.,141,105
Harrison R.,Phau B.,119,223
Bogomolov A.,Querrey S.,96,56
Kudla D.,Young D.,106,79
Russell M.,Smyczek T.,98,102
Sock J.,Vesely J.,85,81
Bogomolov A.,Harrison R.,96,119
Nishikori K.,Becker B.,16,88
Kuznetsov Al.,Kukushkin M.,141,59
Lu Y.H.,Kudla D.,54,106
Hewitt L.,Baghdatis M.,40,134
Karlovic I.,Lopez F.,80,26
Nishikori K.,Bogomolov A.,16,96
Russell M.,Hewitt L.,98,40
Lu Y.H.,Kuznetsov Al.,54,141
Karlovic I.,Sock J.,80,85
Nishikori K.,Russell M.,16,98
Karlovic I.,Lu Y.H.,80,54
Nishikori K.,Karlovic I.,16,80
Mathieu P.H.,Dodig I.,135,33
Berrer M.,Huta Galung J.,147,91
Berdych T.,Seppi A.,7,31
Tsonga J.W.,Mayer F.,10,30
Kohlschreiber P.,Stakhovsky S.,27,90
Gulbis E.,Istomin D.,24,41
Cilic M.,Rosol L.,37,50
Sijsling I.,Youzhny M.,64,15
Dimitrov G.,Tursunov D.,19,28
Janowicz J.,Benneteau J.,20,39
Mahut N.,Brands D.,44,69
Haas T.,Verdasco F.,12,32
Thiem D.,Nieminen J.,113,36
Gasquet R.,De Bakker T.,9,140
Del Potro J.M.,Monfils G.,4,23
Murray A.,Roger-Vasselin E.,6,35
Cilic M.,Tsonga J.W.,37,10
Gulbis E.,Dimitrov G.,24,19
Janowicz J.,Haas T.,20,12
Berdych T.,Mahut N.,7,44
Del Potro J.M.,Mathieu P.H.,4,135
Kohlschreiber P.,Gasquet R.,27,9
Murray A.,Thiem D.,6,113
Sijsling I.,Berrer M.,64,147
Berdych T.,Janowicz J.,7,20
Gulbis E.,Del Potro J.M.,24,4
Cilic M.,Murray A.,37,6
Sijsling I.,Kohlschreiber P.,64,27
Berdych T.,Gulbis E.,7,24
Cilic M.,Sijsling I.,37,64
Berdych T.,Cilic M.,7,37
Mannarino A.,Sock J.,70,82
Lopez F.,Querrey S.,27,57
Anderson K.,Smyczek T.,21,105
Baghdatis M.,Vesely J.,155,77
Sela D.,Bogomolov A.,75,88
Gabashvili T.,Ebden M.,65,62
Johnson S.,Kukushkin M.,142,58
Matosevic M.,Goffin D.,55,106
Hewitt L.,Klahn B.,38,66
Harrison R.,Lu Y.H.,115,46
Haas T.,Odesnik W.,12,118
Karlovic I.,Groth S.,56,160
Williams R.,Falla A.,146,79
Nishikori K.,Elias G.,15,169
Isner J.,Russell M.,13,85
Cilic M.,Becker B.,29,93
Lopez F.,Mannarino A.,27,70
Anderson K.,Karlovic I.,21,56
Johnson S.,Haas T.,142,12
Matosevic M.,Hewitt L.,55,38
Cilic M.,Harrison R.,29,115
Gabashvili T.,Nishikori K.,65,15
Isner J.,Sela D.,13,75
Williams R.,Baghdatis M.,146,155
Anderson K.,Matosevic M.,21,55
Johnson S.,Lopez F.,142,27
Cilic M.,Gabashvili T.,29,65
Isner J.,Williams R.,13,146
Anderson K.,Johnson S.,21,142
Cilic M.,Isner J.,29,13
Cilic M.,Anderson K.,29,21
Kavcic B.,Kokkinakis T.,116,397
Davydenko N.,Sijsling I.,63,52
Stakhovsky S.,Evans D.,91,124
Roger-Vasselin E.,Pavic A.,36,237
Dodig I.,Olivetti A.,34,194
Kamke T.,Edmund K.,89,322
Struff J.L.,Guez D.,117,171
Bautista R.,Brown D.,51,94
Llodra M.,Lacko L.,126,101
Mahut N.,De Schepper K.,41,83
Berankis R.,Hajek J.,149,111
Benneteau J.,Huta Galung J.,67,95
Tsonga J.W.,Davydenko N.,10,63
Gasquet R.,Kavcic B.,9,116
Roger-Vasselin E.,Stakhovsky S.,36,91
Mahut N.,Berankis R.,41,149
Dodig I.,Kamke T.,34,89
Struff J.L.,Benneteau J.,117,67
Gulbis E.,Bautista R.,23,51
Llodra M.,Seppi A.,126,32
Gasquet R.,Dodig I.,9,34
Gulbis E.,Mahut N.,23,41
Tsonga J.W.,Roger-Vasselin E.,10,36
Struff J.L.,Llodra M.,117,126
Gulbis E.,Gasquet R.,23,9
Tsonga J.W.,Struff J.L.,10,117
Gulbis E.,Tsonga J.W.,23,10
Klizan M.,Garcia-Lopez G.,108,53
Lajovic D.,Volandri F.,100,81
Bagnis F.,Souza J.,125,123
Bellucci T.,Giraldo S.,130,60
Delbonis F.,Clezar G.,61,163
Andujar P.,Reister J.,40,97
Dolgopolov O.,Almagro N.,54,18
Ramos A.,Mayer L.,87,59
Sousa J.,Granollers M.,48,230
Robredo T.,Carreno-Busta P.,17,64
Monaco J.,Zeballos H.,42,112
Cuevas P.,Gonzalez A.,231,76
Fognini F.,Bedene A.,14,103
Ferrer D.,Chardy J.,4,45
Nadal R.,Gimeno-Traver D.,1,84
Montanes A.,Haase R.,72,44
Andujar P.,Klizan M.,40,108
Robredo T.,Lajovic D.,17,100
Bellucci T.,Monaco J.,130,42
Ferrer D.,Delbonis F.,4,61
Dolgopolov O.,Bagnis F.,54,125
Fognini F.,Cuevas P.,14,231
Nadal R.,Montanes A.,1,72
Sousa J.,Ramos A.,48,87
Dolgopolov O.,Fognini F.,54,14
Ferrer D.,Bellucci T.,4,130
Andujar P.,Robredo T.,40,17
Nadal R.,Sousa J.,1,48
Dolgopolov O.,Ferrer D.,54,4
Nadal R.,Andujar P.,1,40
Nadal R.,Dolgopolov O.,1,54
Sela D.,Falla A.,73,79
Chardy J.,Ebden M.,46,62
Querrey S.,Hank T.,56,646
Lopez F.,Roger-Vasselin E.,37,35
Anderson K.,Robert S.,21,94
Sousa J.,Mannarino A.,44,67
Karlovic I.,Isner J.,55,13
Dolgopolov O.,Pospisil V.,38,27
Ferrer D.,Kukushkin M.,4,57
Gulbis E.,Lu Y.H.,18,47
Simon G.,Smyczek T.,23,105
Dimitrov G.,Matosevic M.,22,71
Young D.,Nieminen J.,91,41
Goffin D.,Kubot L.,107,83
Baghdatis M.,Reyes-Varela M.A.,149,502
Murray A.,Andujar P.,7,34
Dolgopolov O.,Chardy J.,38,46
Anderson K.,Querrey S.,21,56
Simon G.,Young D.,23,91
Karlovic I.,Sela D.,55,73
