Winner,Loser,WRank,LRank
Gasquet R.,Klizan M.,14,57
Istomin D.,Roger-Vasselin E.,49,53
Querrey S.,Benneteau J.,77,47
Lopez F.,Chardy J.,25,43
Gasquet R.,Istomin D.,14,49
Lopez F.,Querrey S.,25,77
Lopez F.,Gasquet R.,25,14
Huta Galung J.,Nedovyesov A.,146,101
Sela D.,Paire B.,107,70
Pospisil V.,Lajovic D.,35,84
Lacko L.,Hanescu V.,87,103
Johnson S.,De Schepper K.,68,67
Tursunov D.,Klahn B.,32,73
De Bakker T.,Sijsling I.,143,60
Ebden M.,Mannarino A.,86,80
Becker B.,Granollers M.,83,30
Melzer J.,Falla A.,52,54
Struff J.L.,Rosol L.,65,50
Pavic M.,Gonzalez A.,475,74
Verdasco F.,Mathieu P.H.,23,88
Sousa J.,Lorenzi P.,48,81
Bautista R.,Gimeno-Traver D.,28,97
Mahut N.,Coppejans K.,41,205
De Bakker T.,Tursunov D.,143,32
Sousa J.,Pavic M.,48,475
Melzer J.,Lacko L.,52,87
Bautista R.,Ebden M.,28,86
Becker B.,Sela D.,83,107
Verdasco F.,Huta Galung J.,23,146
Mahut N.,Johnson S.,41,68
Pospisil V.,Struff J.L.,35,65
Sousa J.,De Bakker T.,48,143
Becker B.,Pospisil V.,83,35
Bautista R.,Mahut N.,28,41
Melzer J.,Verdasco F.,52,23
Becker B.,Sousa J.,83,48
Bautista R.,Melzer J.,28,52
Bautista R.,Becker B.,28,83
Gulbis E.,Zopp J.,10,272
Berdych T.,Hanescu V.,6,104
Simon G.,Kravchuk K.,44,221
Rola B.,Andujar P.,92,80
Matosevic M.,Verdasco F.,58,24
Stakhovsky S.,Berlocq C.,90,43
Mayer L.,Seppi A.,64,36
Youzhny M.,Ward J.,16,154
Murray A.,Goffin D.,5,105
Wang J.,Gonzalez A.,147,76
Chardy J.,Cox D.,42,214
Roger-Vasselin E.,Volandri F.,50,117
Anderson K.,Bedene A.,18,140
Baghdatis M.,Brown D.,119,79
Tomic B.,Donskoy E.,86,114
Haase R.,Pospisil V.,53,33
Saville L.,Thiem D.,236,57
Puetz T.,Gabashvili T.,251,61
Dimitrov G.,Harrison R.,13,150
Ferrer D.,Carreno-Busta P.,7,60
Bautista R.,Johnson S.,23,70
Stepanek R.,Cuevas P.,38,112
Hernych J.,Kamke T.,285,87
Cilic M.,Mathieu P.H.,29,89
Fognini F.,Kuznetsov Al.,15,148
Haider-Maurer A.,Edmund K.,95,320
Djokovic N.,Golubev A.,2,56
Kuznetsov An.,Evans D.,118,143
Dolgopolov O.,Groth S.,19,124
Becker B.,Young D.,65,69
Granollers M.,Mahut N.,224,54
Hewitt L.,Przysiezny M.,48,120
Kudla D.,Ilhan M.,136,151
Janowicz J.,Devvarman S.,25,125
Kyrgios N.,Robert S.,144,78
Lajovic D.,Garcia-Lopez G.,84,34
Lu Y.H.,Nedovyesov A.,47,102
Nishikori K.,De Schepper K.,12,73
Giraldo S.,Gimeno-Traver D.,35,96
Kubot L.,Struff J.L.,72,66
Wawrinka S.,Sousa J.,3,41
Tsonga J.W.,Melzer J.,17,49
Gasquet R.,Duckworth J.,14,161
Federer R.,Lorenzi P.,4,83
Dancevic F.,Karlovic I.,107,32
Rosol L.,Paire B.,52,71
Lopez F.,Sugita Y.,26,145
Querrey S.,Klahn B.,67,75
Nadal R.,Klizan M.,1,51
Raonic M.,Ebden M.,9,85
Kukushkin M.,Sela D.,63,101
Pavic A.,Falla A.,163,55
Sock J.,Herbert P.H.,77,130
Muller G.,Benneteau J.,103,46
Bolelli S.,Ito T.,132,129
Isner J.,Smethurst D.,11,234
Monfils G.,Jaziri M.,21,121
Istomin D.,Tursunov D.,45,31
Nieminen J.,Delbonis F.,62,37
Vesely J.,Estrella Burgos V.,68,91
Reister J.,Russell M.,110,94
Mannarino A.,Riba P.,81,82
Kohlschreiber P.,Sijsling I.,28,59
Robredo T.,Lacko L.,22,88
Anderson K.,Roger-Vasselin E.,18,50
Chardy J.,Matosevic M.,42,58
Stakhovsky S.,Gulbis E.,90,10
Murray A.,Rola B.,5,92
Dolgopolov O.,Becker B.,19,65
Mayer L.,Baghdatis M.,64,119
Fognini F.,Puetz T.,15,251
Dimitrov G.,Saville L.,13,236
Bautista R.,Hernych J.,23,285
Kuznetsov An.,Ferrer D.,118,7
Cilic M.,Haider-Maurer A.,29,95
Berdych T.,Tomic B.,6,86
Djokovic N.,Stepanek R.,2,38
Wang J.,Youzhny M.,147,16
Simon G.,Haase R.,44,53
Bolelli S.,Kohlschreiber P.,132,28
Nishikori K.,Kudla D.,12,136
Vesely J.,Monfils G.,68,21
Kukushkin M.,Dancevic F.,63,107
Kyrgios N.,Gasquet R.,144,14
Kubot L.,Lajovic D.,72,84
Raonic M.,Sock J.,9,77
Nadal R.,Rosol L.,1,52
Robredo T.,Mannarino A.,22,81
Wawrinka S.,Lu Y.H.,3,47
Istomin D.,Reister J.,45,110
Tsonga J.W.,Querrey S.,17,67
Isner J.,Nieminen J.,11,62
Federer R.,Muller G.,4,103
Lopez F.,Pavic A.,26,163
Giraldo S.,Granollers M.,35,224
Janowicz J.,Hewitt L.,25,48
Anderson K.,Fognini F.,18,15
Djokovic N.,Simon G.,2,44
Tsonga J.W.,Wang J.,17,147
Mayer L.,Kuznetsov An.,64,118
Chardy J.,Stakhovsky S.,42,90
Dimitrov G.,Dolgopolov O.,13,19
Murray A.,Bautista R.,5,23
Cilic M.,Berdych T.,29,6
Kyrgios N.,Vesely J.,144,68
Raonic M.,Kubot L.,9,72
Nadal R.,Kukushkin M.,1,63
Federer R.,Giraldo S.,4,35
Robredo T.,Janowicz J.,22,25
Nishikori K.,Bolelli S.,12,132
Lopez F.,Isner J.,26,11
Wawrinka S.,Istomin D.,3,45
Cilic M.,Chardy J.,29,42
Dimitrov G.,Mayer L.,13,64
Murray A.,Anderson K.,5,18
Djokovic N.,Tsonga J.W.,2,17
Wawrinka S.,Lopez F.,3,26
Federer R.,Robredo T.,4,22
Raonic M.,Nishikori K.,9,12
Kyrgios N.,Nadal R.,144,1
Dimitrov G.,Murray A.,13,5
Djokovic N.,Cilic M.,2,29
Federer R.,Wawrinka S.,4,3
Raonic M.,Kyrgios N.,9,144
Djokovic N.,Dimitrov G.,2,13
Federer R.,Raonic M.,4,9
Djokovic N.,Federer R.,2,4
Lajovic D.,Montanes A.,73,103
Sousa J.,Riba P.,40,93
Lorenzi P.,Eriksson M.,80,399
Cuevas P.,Chardy J.,111,35
Hanescu V.,Andujar P.,104,75
Ramos A.,Vesely J.,89,67
Lindell C.,Cervantes I.,402,363
Carreno-Busta P.,Brown D.,62,100
Albot R.,De Schepper K.,229,110
Ymer E.,Kukushkin M.,310,52
Berlocq C.,Reister J.,41,122
Olivo R.,Mathieu P.H.,282,77
Lajovic D.,Janowicz J.,73,51
Sousa J.,Ymer E.,40,310
Cuevas P.,Lindell C.,111,402
Olivo R.,Robredo T.,282,18
Carreno-Busta P.,Lorenzi P.,62,80
Verdasco F.,Ramos A.,29,89
Ferrer D.,Hanescu V.,7,104
Berlocq C.,Albot R.,41,229
Cuevas P.,Olivo R.,111,282
Verdasco F.,Carreno-Busta P.,29,62
Berlocq C.,Ferrer D.,41,7
Sousa J.,Lajovic D.,40,73
Cuevas P.,Verdasco F.,111,29
Sousa J.,Berlocq C.,40,41
Cuevas P.,Sousa J.,111,40
Sela D.,Przysiezny M.,98,134
Johnson S.,Thompson C.,69,2159
Karlovic I.,Ginepri R.,31,275
Jaziri M.,Berankis R.,117,141
Ito T.,Krueger M.,129,398
Ram R.,Ebden M.,157,78
Groth S.,Young D.,123,70
Mahut N.,Arguello F.,59,119
Saville L.,Polansky P.,184,133
Stakhovsky S.,Dustov F.,88,142
Mannarino A.,Wang J.,92,138
Pavic A.,Copil M.,145,161
Isner J.,Odesnik W.,12,216
Krajicek A.,Smyczek T.,208,107
Hewitt L.,Harrison R.,43,144
Sock J.,Kuznetsov Al.,76,149
Groth S.,Jaziri M.,123,117
Johnson S.,Ito T.,69,129
Mahut N.,Saville L.,59,184
Sock J.,Ram R.,76,157
Hewitt L.,Pavic A.,43,145
Sela D.,Mannarino A.,98,92
Isner J.,Krajicek A.,12,208
Karlovic I.,Stakhovsky S.,31,88
Groth S.,Mahut N.,123,59
Karlovic I.,Sela D.,31,98
Hewitt L.,Johnson S.,43,69
Sock J.,Isner J.,76,12
Karlovic I.,Groth S.,31,123
Hewitt L.,Sock J.,43,76
Hewitt L.,Karlovic I.,43,31
Golubev A.,Petzschner P.,61,508
Mayer L.,Berrer M.,47,127
Delbonis F.,Monaco J.,38,87
Becker B.,Paire B.,60,79
Garcia-Lopez G.,Cecchinato M.,32,140
Gimeno-Traver D.,Gojowczyk P.,94,114
Marti Y.,Laaksonen H.,232,259
Rosol L.,Zverev A.,48,285
Sorensen L.,Sijsling I.,236,68
Davydenko P.,Rola B.,658,81
Giraldo S.,Delic M.,34,189
Kohlschreiber P.,Struff J.L.,26,71
Youzhny M.,Mayer L.,22,47
Garcia-Lopez G.,Marti Y.,32,232
Delbonis F.,Becker B.,38,60
Fognini F.,Golubev A.,15,61
Giraldo S.,Davydenko P.,34,658
Bautista R.,Sorensen L.,23,236
Rosol L.,Kohlschreiber P.,48,26
Lopez F.,Gimeno-Traver D.,24,94
Bautista R.,Garcia-Lopez G.,23,32
Fognini F.,Giraldo S.,15,34
Rosol L.,Lopez F.,48,24
Youzhny M.,Delbonis F.,22,38
Bautista R.,Fognini F.,23,15
Rosol L.,Youzhny M.,48,22
Bautista R.,Rosol L.,23,48
Kuznetsov Al.,Mannarino A.,155,93
Tomic B.,Dustov F.,124,140
Pella G.,Struvay E.,158,336
Gonzalez A.,Donskoy E.,74,111
De Bakker T.,King K.,147,344
Sela D.,Arguello F.,102,121
Falla A.,Ito T.,54,126
Groth S.,Cabal J.S.,99,NA
Polansky P.,Barrientos N.,130,329
Estrella Burgos V.,Londero J.I.,92,193
Ward J.,Ebden M.,152,81
Wang J.,Przysiezny M.,133,144
Pospisil V.,Kuznetsov Al.,34,155
Stepanek R.,Pella G.,39,158
Tomic B.,Falla A.,124,54
Gonzalez A.,De Bakker T.,74,147
Wang J.,Ward J.,133,152
Karlovic I.,Sela D.,29,102
Estrella Burgos V.,Polansky P.,92,130
Gasquet R.,Groth S.,14,99
Karlovic I.,Wang J.,29,133
Stepanek R.,Gonzalez A.,39,74
Tomic B.,Pospisil V.,124,34
Estrella Burgos V.,Gasquet R.,92,14
Karlovic I.,Stepanek R.,29,39
Tomic B.,Estrella Burgos V.,124,92
Tomic B.,Karlovic I.,124,29
Paire B.,Golubev A.,89,60
Lajovic D.,De Schepper K.,71,110
Andujar P.,Delic M.,78,182
Elias G.,Montanes A.,150,106
Thiem D.,Vesely J.,55,68
Gimeno-Traver D.,Gabashvili T.,94,65
Kukushkin M.,Ilhan M.,53,141
Kamke T.,Nieminen J.,83,58
Krajinovic F.,Struff J.L.,149,73
Brown D.,Carreno-Busta P.,104,59
Klizan M.,Sijsling I.,57,72
Janowicz J.,Ramos-Vinolas A.,48,95
Monaco J.,Riba P.,86,97
Mayer L.,Gojowczyk P.,46,115
Zverev A.,Haase R.,285,51
Rosol L.,Reister J.,42,125
Thiem D.,Granollers M.,55,28
Giraldo S.,Paire B.,32,89
Robredo T.,Gimeno-Traver D.,20,94
Ferrer D.,Kukushkin M.,7,53
Kamke T.,Delbonis F.,83,36
Mayer L.,Garcia-Lopez G.,46,31
Rosol L.,Sousa J.,42,35
Lajovic D.,Berlocq C.,71,56
Krajinovic F.,Fognini F.,149,15
Dolgopolov O.,Janowicz J.,21,48
Zverev A.,Youzhny M.,285,19
Andujar P.,Bellucci T.,78,96
Seppi A.,Monaco J.,44,86
Brown D.,Verdasco F.,104,33
Simon G.,Klizan M.,38,57
Kohlschreiber P.,Elias G.,26,150
Mayer L.,Thiem D.,46,55
Lajovic D.,Krajinovic F.,71,149
Kamke T.,Dolgopolov O.,83,21
Andujar P.,Brown D.,78,104
Rosol L.,Robredo T.,42,20
Zverev A.,Giraldo S.,285,32
Ferrer D.,Seppi A.,7,44
Kohlschreiber P.,Simon G.,26,38
Zverev A.,Kamke T.,285,83
Mayer L.,Lajovic D.,46,71
Ferrer D.,Andujar P.,7,78
Kohlschreiber P.,Rosol L.,26,42
Mayer L.,Kohlschreiber P.,46,26
Ferrer D.,Zverev A.,7,285
Mayer L.,Ferrer D.,46,7
Querrey S.,Johnson S.,61,64
Sela D.,Young D.,94,73
Matosevic M.,Estrella Burgos V.,52,82
Smyczek T.,Harrison R.,112,145
Istomin D.,Ram R.,41,157
De Bakker T.,Diez S.,142,265
Ginepri R.,Stakhovsky S.,281,79
Sock J.,Gonzalez A.,72,75
Becker B.,Ebden M.,66,86
Marchenko I.,Smith J.P.,182,178
Lacko L.,Pasha N.,91,1187
Lu Y.H.,Kuznetsov Al.,42,171
Sock J.,Venus M.,72,349
Pospisil V.,Marchenko I.,39,182
Lacko L.,Istomin D.,91,41
Sela D.,Querrey S.,94,61
De Bakker T.,Anderson K.,142,17
Becker B.,Lu Y.H.,66,42
Matosevic M.,Smyczek T.,52,112
Isner J.,Ginepri R.,12,281
Isner J.,Matosevic M.,12,52
Becker B.,De Bakker T.,66,142
Sock J.,Lacko L.,72,91
Sela D.,Pospisil V.,94,39
Isner J.,Sock J.,12,72
Sela D.,Becker B.,94,66
Isner J.,Sela D.,12,94
Delbonis F.,Brown D.,56,90
Troicki V.,Thiem D.,847,47
Golubev A.,Cervantes I.,59,330
Monaco J.,Hanescu V.,105,129
Bellucci T.,Melzer G.,93,148
De Schepper K.,Volandri F.,110,119
Haase R.,Nedovyesov A.,51,99
Rola B.,De Paula F.,80,458
Struff J.L.,Haider-Maurer A.,78,109
Andujar P.,Simon G.,71,36
Marti Y.,Gimeno-Traver D.,212,89
Laaksonen H.,Mina G.,319,399
Monaco J.,Garcia-Lopez G.,105,32
Bellucci T.,Delbonis F.,93,56
Andujar P.,Rola B.,71,80
Granollers M.,Marti Y.,28,212
Youzhny M.,De Schepper K.,19,110
Haase R.,Laaksonen H.,51,319
Troicki V.,Golubev A.,847,59
Verdasco F.,Struff J.L.,38,78
Monaco J.,Bellucci T.,105,93
Haase R.,Youzhny M.,51,19
Andujar P.,Granollers M.,71,28
Verdasco F.,Troicki V.,38,847
Monaco J.,Haase R.,105,51
Andujar P.,Verdasco F.,71,38
Andujar P.,Monaco J.,71,105
Coric B.,Roger-Vasselin E.,230,46
Carreno-Busta P.,Lorenzi P.,57,83
Rosol L.,Schwartzman D.,43,100
Cuevas P.,Delic M.,60,181
Sijsling I.,Reister J.,76,125
Berlocq C.,Martin A.,55,189
Zeballos H.,Pavic A.,117,140
Gabashvili T.,Lajovic D.,68,58
Seppi A.,Cecchinato M.,45,136
Montanes A.,Zverev A.,113,161
Ramos A.,Paire B.,95,96
Riba P.,Vesely J.,97,67
Cilic M.,Sijsling I.,22,76
Rosol L.,Riba P.,43,97
Carreno-Busta P.,Berlocq C.,57,55
Robredo T.,Ramos A.,18,95
Cuevas P.,Seppi A.,60,45
Gabashvili T.,Sousa J.,68,35
Coric B.,Zeballos H.,230,117
Fognini F.,Montanes A.,20,113
Cuevas P.,Gabashvili T.,60,68
Cilic M.,Rosol L.,22,43
Robredo T.,Carreno-Busta P.,18,57
Fognini F.,Coric B.,20,230
Cuevas P.,Fognini F.,60,20
Robredo T.,Cilic M.,18,22
Cuevas P.,Robredo T.,60,18
Gonzalez M.,Carreno-Busta P.,104,55
Haider-Maurer A.,Melzer G.,113,147
Ramos A.,Galovic V.,97,732
Riba P.,Brown D.,103,95
Vesely J.,Struff J.L.,70,76
Thiem D.,Souza J.,50,110
Goffin D.,De Schepper K.,78,102
Nieminen J.,Gabashvili T.,52,66
Lorenzi P.,Haase R.,83,61
Monaco J.,Golubev A.,81,65
Andujar P.,Melzer J.,44,67
Schwartzman D.,Zverev A.,100,159
Gonzalez M.,Ramos A.,104,97
Rosol L.,Haider-Maurer A.,43,113
Goffin D.,Kohlschreiber P.,78,24
Lorenzi P.,Andujar P.,83,44
Monaco J.,Nieminen J.,81,52
Seppi A.,Riba P.,48,103
Thiem D.,Vesely J.,50,70
Granollers M.,Schwartzman D.,28,100
Gonzalez M.,Rosol L.,104,43
Goffin D.,Lorenzi P.,78,83
Monaco J.,Seppi A.,81,48
Thiem D.,Granollers M.,50,28
Goffin D.,Gonzalez M.,78,104
Thiem D.,Monaco J.,50,81
Goffin D.,Thiem D.,78,50
Paire B.,Dancevic F.,98,123
Ginepri R.,Falla A.,266,74
Jaziri M.,Stakhovsky S.,114,79
Smyczek T.,Kuznetsov Al.,108,168
Ram R.,Donaldson J.,152,326
Young D.,Sugita Y.,73,131
Matosevic M.,Marchenko I.,49,170
Tomic B.,Gonzalez A.,72,85
Lacko L.,Peliwo F.,91,270
Donskoy E.,Tiafoe F.,111,1139
Johnson S.,Duckworth J.,68,155
Sela D.,Groth S.,88,96
Querrey S.,Russell M.,63,143
Estrella Burgos V.,Kamke T.,87,77
Sock J.,Berrer M.,60,124
Becker B.,Kavcic B.,56,82
Anderson K.,Donskoy E.,21,111
Istomin D.,Tomic B.,41,72
Karlovic I.,Paire B.,31,98
Lacko L.,Lu Y.H.,91,42
Hewitt L.,Matosevic M.,45,49
Jaziri M.,Stepanek R.,114,35
Smyczek T.,Chardy J.,108,38
Estrella Burgos V.,Lopez F.,87,25
Nishikori K.,Querrey S.,11,63
Young D.,Benneteau J.,73,46
Giraldo S.,Becker B.,34,56
Johnson S.,Isner J.,68,12
Raonic M.,Sock J.,7,60
Pospisil V.,Ram R.,36,152
Berdych T.,Ginepri R.,5,266
Gasquet R.,Sela D.,14,88
Johnson S.,Karlovic I.,68,31
Anderson K.,Jaziri M.,21,114
Young D.,Istomin D.,73,41
Raonic M.,Hewitt L.,7,45
Gasquet R.,Smyczek T.,14,108
Pospisil V.,Berdych T.,36,5
Giraldo S.,Estrella Burgos V.,34,87
Nishikori K.,Lacko L.,11,91
Young D.,Anderson K.,73,21
Raonic M.,Johnson S.,7,68
Gasquet R.,Nishikori K.,14,11
Pospisil V.,Giraldo S.,36,34
Raonic M.,Young D.,7,73
Pospisil V.,Gasquet R.,36,14
Raonic M.,Pospisil V.,7,36
Chardy J.,Delbonis F.,36,65
Cilic M.,Istomin D.,18,39
Paire B.,Falla A.,97,73
Anderson K.,Kokkinakis T.,21,199
Benneteau J.,Hewitt L.,47,42
Smyczek T.,Kamke T.,104,78
Russell M.,Mahut N.,143,91
Tsonga J.W.,Roger-Vasselin E.,15,49
Dodig I.,Isner J.,62,14
Lopez F.,Bautista R.,25,16
Polansky P.,Janowicz J.,129,52
Kyrgios N.,Giraldo S.,70,30
Seppi A.,Schnur B.,51,612
Lu Y.H.,Granollers M.,43,37
Gulbis E.,Sousa J.,12,40
Sock J.,Melzer J.,60,67
Young D.,Dancevic F.,50,128
Gasquet R.,Pospisil V.,13,27
Monfils G.,Stepanek R.,22,34
Jaziri M.,Garcia-Lopez G.,103,33
Karlovic I.,Tomic B.,31,74
Fognini F.,Youzhny M.,19,23
Robredo T.,Kohlschreiber P.,20,24
Simon G.,Thiem D.,35,44
Federer R.,Polansky P.,3,129
Wawrinka S.,Paire B.,4,97
Tsonga J.W.,Chardy J.,15,36
Murray A.,Kyrgios N.,9,70
Dodig I.,Seppi A.,62,51
Benneteau J.,Gulbis E.,47,12
Gasquet R.,Karlovic I.,13,31
Cilic M.,Jaziri M.,18,103
Djokovic N.,Monfils G.,1,22
Anderson K.,Fognini F.,21,19
Robredo T.,Simon G.,20,35
Ferrer D.,Russell M.,7,143
Dimitrov G.,Young D.,8,50
Lopez F.,Smyczek T.,25,104
Raonic M.,Sock J.,6,60
Berdych T.,Lu Y.H.,5,43
Anderson K.,Wawrinka S.,21,4
Dimitrov G.,Robredo T.,8,20
Tsonga J.W.,Djokovic N.,15,1
Murray A.,Gasquet R.,9,13
Ferrer D.,Dodig I.,7,62
Raonic M.,Benneteau J.,6,47
Lopez F.,Berdych T.,25,5
Federer R.,Cilic M.,3,18
Tsonga J.W.,Murray A.,15,9
Dimitrov G.,Anderson K.,8,21
Lopez F.,Raonic M.,25,6
Federer R.,Ferrer D.,3,7
Tsonga J.W.,Dimitrov G.,15,8
Federer R.,Lopez F.,3,25
Tsonga J.W.,Federer R.,15,3
Hewitt L.,Melzer J.,42,67
Querrey S.,Falla A.,61,73
Kohlschreiber P.,Chardy J.,24,33
Lu Y.H.,Istomin D.,43,45
Robredo T.,Sock J.,20,56
Becker B.,Karlovic I.,57,28
Verdasco F.,Granollers M.,34,39
Matosevic M.,Mahut N.,89,96
Sousa J.,Buchanan C.,37,172
Monfils G.,Delbonis F.,23,63
Janowicz J.,Gabashvili T.,65,64
Simon G.,Tomic B.,31,70
Fognini F.,Roger-Vasselin E.,21,49
Isner J.,Anderson K.,14,17
Ward J.,Garcia-Lopez G.,148,32
Cilic M.,Lopez F.,19,16
Pospisil V.,Stepanek R.,46,35
Ginepri R.,Thiem D.,232,44
Seppi A.,Giraldo S.,52,30
Youzhny M.,Tsonga J.W.,25,10
Gulbis E.,Dodig I.,13,54
Benneteau J.,Rola B.,41,91
Bautista R.,Klizan M.,18,66
Johnson S.,Paire B.,55,103
Wawrinka S.,Becker B.,4,57
Djokovic N.,Simon G.,1,31
Janowicz J.,Dimitrov G.,65,8
Lu Y.H.,Berdych T.,43,5
Murray A.,Sousa J.,9,37
Youzhny M.,Seppi A.,25,52
Benneteau J.,Ward J.,41,148
Isner J.,Matosevic M.,14,89
Robredo T.,Querrey S.,20,61
Fognini F.,Hewitt L.,21,42
Ferrer D.,Kohlschreiber P.,6,24
Federer R.,Pospisil V.,3,46
Cilic M.,Verdasco F.,19,34
Johnson S.,Gulbis E.,55,13
Raonic M.,Ginepri R.,7,232
Monfils G.,Bautista R.,23,18
Benneteau J.,Janowicz J.,41,65
Wawrinka S.,Cilic M.,4,19
Murray A.,Isner J.,9,14
Fognini F.,Lu Y.H.,21,43
Robredo T.,Djokovic N.,20,1
Raonic M.,Johnson S.,7,55
Federer R.,Monfils G.,3,23
Ferrer D.,Youzhny M.,6,25
Benneteau J.,Wawrinka S.,41,4
Raonic M.,Fognini F.,7,21
Ferrer D.,Robredo T.,6,20
Federer R.,Murray A.,3,9
Ferrer D.,Benneteau J.,6,41
Federer R.,Raonic M.,3,7
Federer R.,Ferrer D.,3,6
Becker B.,Carreno-Busta P.,58,75
Mahut N.,Kavcic B.,104,93
Brown D.,Gonzalez A.,98,101
Haase R.,Paire B.,70,99
Klahn B.,Rubin N.,117,584
Harrison R.,Struff J.L.,184,78
Goffin D.,Melzer J.,62,68
Delbonis F.,Klizan M.,66,65
Sijsling I.,Golubev A.,73,64
Janowicz J.,Berlocq C.,52,63
Mathieu P.H.,Ginepri R.,82,204
Mannarino A.,Dzumhur D.,90,120
Nedovyesov A.,Giron M.,108,433
Dancevic F.,Bellucci T.,138,92
Querrey S.,Riba P.,56,116
Rola B.,Odesnik W.,88,180
Garcia-Lopez G.,Brown D.,32,98
Nieminen J.,Becker B.,54,58
Anderson K.,Mannarino A.,20,90
Roger-Vasselin E.,Nedovyesov A.,51,108
Janowicz J.,Sousa J.,52,37
Seppi A.,Delbonis F.,48,66
Mahut N.,Robredo T.,104,18
Young D.,Dancevic F.,46,138
Goffin D.,Mayer L.,62,26
Kukushkin M.,Haase R.,50,70
Querrey S.,Johnson S.,56,49
Granollers M.,Mathieu P.H.,42,82
Lu Y.H.,Rola B.,38,88
Andujar P.,Sijsling I.,47,73
Rosol L.,Harrison R.,33,184
Isner J.,Klahn B.,15,117
Janowicz J.,Roger-Vasselin E.,52,51
Goffin D.,Nieminen J.,62,54
Garcia-Lopez G.,Young D.,32,46
Lu Y.H.,Granollers M.,38,42
Seppi A.,Mahut N.,48,104
Rosol L.,Andujar P.,33,47
Querrey S.,Anderson K.,56,20
Isner J.,Kukushkin M.,15,50
Lu Y.H.,Seppi A.,38,48
Janowicz J.,Goffin D.,52,62
Rosol L.,Isner J.,33,15
Querrey S.,Garcia-Lopez G.,56,32
Rosol L.,Lu Y.H.,33,38
Janowicz J.,Querrey S.,52,56
Rosol L.,Janowicz J.,33,52
